,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,Rent Frequnecy,Accommodation Types
981, جدة,   حي المحمدية ,شمال,250,8,4,3,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,130000,Unkown,house
982, الدمام,   حي النزهة ,شرق,400,5,5,5,2,1,1,1,0,0,1,0,0,1,0,0,1,0,0,75000,Unkown,house
983, الدمام,   حي الاثير ,شرق,205,0,3,2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,60000,Unkown,house
984, الدمام,   حي المدينة الصناعية الثانية ,جنوب,355,0,7,5,2,1,1,0,1,0,1,1,0,1,0,1,1,0,0,65000,Unkown,Unkown
985, الدمام,   حي الحمراء ,شمال,500,18,7,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,65000,Unkown,house
986, الرياض,   حي العارض ,جنوب,300,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85000,Unkown,house
987, الرياض,   حي ام الحمام الغربي ,جنوب شرقي,757,7,7,5,3,1,1,1,1,0,1,1,1,1,0,0,1,0,0,420000,Unkown,house
988, الدمام,   حي الفرسان ,غرب,350,5,4,4,2,1,1,1,1,0,0,0,0,1,0,1,1,0,0,30000,Unkown,house
989, الرياض,   حي الرحمانية ,شرق,300,5,3,5,2,1,1,1,1,0,1,0,1,1,1,0,1,0,0,220000,Unkown,house
990, جدة,   حي بريمان ,جنوب,350,0,7,5,2,1,1,0,1,0,0,1,0,0,0,1,1,1,0,45000,Unkown,house
991, الدمام,   حي بدر ,غرب,230,0,5,5,2,1,1,0,1,0,0,1,0,1,0,1,1,0,0,33000,Unkown,house
992, الخبر,   حي اللؤلؤ ,غرب,330,0,6,4,2,1,0,0,0,0,0,1,0,1,0,1,0,0,1,37000,Unkown,floor
993, الدمام,   حي السيف ,غرب,300,11,6,5,2,1,1,1,1,0,1,1,0,1,0,1,1,0,0,75000,Unkown,house
994, جدة,   حي الزهراء ,جنوب,400,7,5,5,3,1,1,1,1,0,1,1,1,1,1,1,1,0,0,160000,Unkown,house
995, الخبر,   حي الراكة الجنوبية ,شمال,200,4,6,5,2,1,1,0,1,0,1,0,1,1,0,1,1,0,0,85000,Unkown,house
996, الدمام,   حي ضاحية الملك فهد ,شرق,250,0,5,5,2,1,1,0,0,0,0,1,0,1,0,1,1,0,0,35000,Unkown,house
997, الخبر,   حي الامواج ,غرب,437,0,7,5,2,0,1,0,1,0,0,1,0,1,0,1,1,0,1,60000,Unkown,house
998, الدمام,   حي المنتزه ,غرب,387,0,5,5,3,1,0,1,1,0,1,0,0,1,0,0,1,0,0,140000,Unkown,house
999, الخبر,   حي التحلية ,شرق,330,0,4,5,4,1,1,1,1,0,1,1,0,1,0,0,0,0,0,80000,Unkown,house
1000, الدمام,   حي طيبة ,شمال غربي,450,4,7,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,1,55000,Unkown,floor
1001, الرياض,   حي المدينة الصناعية الجديدة ,شمال غربي,800,20,5,5,4,1,1,0,0,0,0,1,0,1,0,0,1,0,0,100000,Unkown,Unkown
